x,good list
Picea glauca,Picea glauca
Tsuga mertensiana,Tsuga mertensiana
Betula papyrifera,Betula papyrifera
Picea sitchensis,Picea sitchensis
Picea mariana,Picea mariana
Populus balsamiferassp.Trichocarpa,Populus balsamifera
Populus tremuloides,Populus tremuloides
Pinus contorta,Pinus contorta
Tsuga heterophylla,Tsuga heterophylla
Abies lasiocarpa,Abies lasiocarpa
Alnus rubra,Alnus rubra
Chamaecyparis nootkatensis,Chamaecyparis nootkatensis
Abies amabilis,Abies amabilis
Thuja plicata,Thuja plicata
Malus fusca,Malus fusca
Taxus brevifolia,Taxus brevifolia
Quercus douglasii,Quercus douglasii
Umbellularia californica,Umbellularia californica
Quercus lobata,Quercus lobata
Quercus agrifolia,Quercus agrifolia
Aesculus californica,Aesculus californica
Quercus wislizeni,Quercus wislizeni
Quercus kelloggii,Quercus kelloggii
Platanus racemosa,Platanus racemosa
Pinus sabiniana,Pinus sabiniana
Quercus chrysolepis,Quercus chrysolepis
Acer macrophyllum,Acer macrophyllum
Arbutus menziesii,Arbutus menziesii
Sequoia sempervirens,Sequoia sempervirens
Abies magnifica,Abies magnifica
Pinus monticola,Pinus monticola
Pinus jeffreyi,Pinus jeffreyi
Juniperus occidentalis,Juniperus occidentalis
Abies concolor,Abies concolor
Cercocarpus ledifolius,Cercocarpus ledifolius
Pinus monophylla,Pinus monophylla
Alnus rhombifolia,Alnus rhombifolia
Pinus albicaulis,Pinus albicaulis
Calocedrus decurrens,Calocedrus decurrens
Pinus lambertiana,Pinus lambertiana
Pinus ponderosa,Pinus ponderosa
Pseudotsuga menziesii,Pseudotsuga menziesii
Cornus nuttallii,Cornus nuttallii
Quercus garryana,Quercus garryana
Lithocarpus densiflorus,Lithocarpus densiflorus
Torreya californica,Torreya californica
Populus fremontii,Populus fremontii
Fraxinus latifolia,Fraxinus latifolia
Prunus emarginata,Prunus emarginata
Pinus attenuata,Pinus attenuata
Cupressus sargentii,Cupressus sargentii
Pinus coulteri,Pinus coulteri
Chamaecyparis lawsoniana,Chamaecyparis lawsoniana
Chrysolepis chrysophyllavar.chrysophylla,Chrysolepis chrysophylla
Abies shastensis,Abies shastensis
Picea breweriana,Picea breweriana
Quercus muehlenbergii,Quercus muehlenbergii
Abies grandis,Abies grandis
Sequoiadendron giganteum,Sequoiadendron giganteum
Juniperus californica,Juniperus californica
Pinus flexilis,Pinus flexilis
Juglans hindsii,Juglans hindsii
Pinus muricata,Pinus muricata
Olneya tesota,Olneya tesota
Prosopis pubescens,Prosopis pubescens
Prosopis glandulosa,Prosopis glandulosa
Juniperus osteosperma,Juniperus osteosperma
Pinus balfouriana,Pinus balfouriana
Pinus longaeva,Pinus longaeva
Acer glabrum,Acer glabrum
Fraxinus velutina,Fraxinus velutina
Pseudotsuga macrocarpa,Pseudotsuga macrocarpa
Pinus washoensis,Pinus washoensis
Juglans californica,Juglans californica
Liquidambar styraciflua,Liquidambar styraciflua
Tree evergreen,
Pinus radiata,Pinus radiata
Prunus virginiana,Prunus virginiana
Eucalyptus globulus,Eucalyptus globulus
Quercus engelmannii,Quercus engelmannii
Acer negundo,Acer negundo
Larix occidentalis,Larix occidentalis
Fraxinus (spp.),
Aesculus (spp.),
Cupressus bakeri,Cupressus bakeri
Abies procera,Abies procera
Picea engelmannii,Picea engelmannii
Elaeagnus angustifolia,Elaeagnus angustifolia
Prunus avium,Prunus avium
Acer platanoides,Acer platanoides
Salix nigra,Salix nigra
Robinia pseudoacacia,Robinia pseudoacacia
Pinus sylvestris,Pinus sylvestris
Ailanthus altissima,Ailanthus altissima
Salix pyrifolia,Salix pyrifolia
Betula occidentalis,Betula occidentalis
Juniperus scopulorum,Juniperus scopulorum
Larix lyallii,Larix lyallii
Salix alba,Salix alba
Tree broadleaf,
